,DESTINATION,KEYWORDS,ORIGIN
30203,ATL,thanks,ORD
30204,SBN,forced,EWR
30205,SBN,gate,EWR
30206,SBN,check,EWR
30207,SBN,normal,EWR
30208,SBN,sized,EWR
30209,SBN,carry,EWR
30210,SBN,outside,EWR
30211,SBN,cold,EWR
30212,SBN,forever,EWR
30213,SBN,receive,EWR
30214,SBN,unfriendly,EWR
30215,SBN,flight,EWR
30216,SBN,attendant,EWR
30217,SBN,crazy,EWR
30218,SBN,delay,EWR
30219,SBN,really,EWR
30220,SBN,tight,EWR
30221,SBN,space,EWR
30222,SBN,broken,EWR
30223,SBN,light,EWR
30224,PVD,3,EWR
30225,PVD,hours,EWR
30226,PVD,delay,EWR
30227,PVD,weather,EWR
30228,PVD,acceptable,EWR
30229,PVD,crazy,EWR
30230,PVD,understandable,EWR
30231,PVD,however,EWR
30232,PVD,upsetting,EWR
30233,PVD,luggage,EWR
30234,PVD,trip,EWR
30235,PVD,returning,EWR
30236,PVD,trip,EWR
30237,PVD,time,EWR
30238,PVD,priority,EWR
30239,PVD,always,EWR
30240,PVD,issues,EWR
30241,PVD,bags,EWR
30242,BTV,flight,EWR
30243,BTV,hours,EWR
30244,BTV,delayed,EWR
30245,BTV,text,EWR
30246,BTV,nobody,EWR
30247,BTV,gate,EWR
30248,BTV,entire,EWR
30249,BTV,time,EWR
30250,BTV,flight,EWR
30251,BTV,going,EWR
30252,BTV,board,EWR
30253,BTV,nobody,EWR
30254,BTV,around,EWR
30255,BTV,answer,EWR
30256,BTV,questions,EWR
30257,BTV,explain,EWR
30258,BTV,delay,EWR
30259,BTV,machine,EWR
30260,BTV,front,EWR
30261,BTV,desk,EWR
30262,BTV,checked,EWR
30263,BTV,bag,EWR
30264,BTV,irritating,EWR
30265,BTV,sit,EWR
30266,BTV,nobody,EWR
30267,BTV,around,EWR
30268,BTV,hours,EWR
30269,BTV,call,EWR
30270,BTV,number,EWR
30271,BTV,provided,EWR
30272,BTV,online,EWR
30273,BTV,ended,EWR
30274,BTV,booking,EWR
30275,BTV,find,EWR
30276,BTV,wrong,EWR
30277,BTV,turned,EWR
30278,BTV,mechanical,EWR
30279,BTV,error,EWR
30280,BTV,remedy,EWR
30281,BTV,situation,EWR
30282,BTV,instead,EWR
30283,BTV,waiting,EWR
30284,BTV,flight,EWR
30285,BTV,coming,EWR
30286,BTV,hours,EWR
30287,BTV,later,EWR
30288,BTV,scheduled,EWR
30289,BTV,departure,EWR
30290,BTV,overall,EWR
30291,BTV,terrible,EWR
30292,BTV,experience,EWR
30293,EWR,pure,PDX
30294,EWR,misery,PDX
30295,EWR,comfort,PDX
30296,EWR,whatsoever,PDX
30297,EWR,uncomfortable,PDX
30298,EWR,seats,PDX
30299,EWR,worn,PDX
30300,EWR,upholstery,PDX
30301,EWR,hard,PDX
30302,EWR,sleep,PDX
30303,EWR,reclining,PDX
30304,EWR,seats,PDX
30305,EWR,overnight,PDX
30306,EWR,flight,PDX
30307,TLV,recommend,EWR
30308,TLV,setting,EWR
30309,TLV,seats,EWR
30310,TLV,recline,EWR
30311,TLV,dreamliner,EWR
30312,TLV,seats,EWR
30313,TLV,seem,EWR
30314,TLV,back,EWR
30315,TLV,bit,EWR
30316,TLV,less,EWR
30317,TLV,older,EWR
30318,TLV,planes,EWR
30319,TLV,reason,EWR
30320,TLV,going,EWR
30321,TLV,back,EWR
30322,TLV,almost,EWR
30323,TLV,upgrades,EWR
30324,TLV,first,EWR
30325,TLV,class,EWR
30326,TLV,first,EWR
30327,TLV,list,EWR
30328,TLV,disappointing,EWR
30329,TLV,upgrade,EWR
30330,TLV,either,EWR
30331,TLV,finally,EWR
30332,TLV,flight,EWR
30333,TLV,ewr,EWR
30334,TLV,ord,EWR
30335,TLV,happy,EWR
30336,TLV,otherwise,EWR
30337,TLV,missed,EWR
30338,TLV,connection,EWR
30339,TLV,tough,EWR
30340,TLV,middle,EWR
30341,TLV,seat,EWR
